date,location,state,lat,long,numb
6/30/18,Nottingham,PA,39.8,-76.1,1
6/30/18,Sea Cliff,NY,40.8,-73.6,1
6/30/18,Sterling,NY,43.4,-76.7,4
6/30/18,Buffalo,NY,43,-78.8,1
6/30/18,Corvallis,OR,44.6,-123.3,1
6/30/18,Granby,CT,42,-72.8,1
6/30/18,Whitmore Lake,MI,42.4,-83.8,1
6/30/18,Mechanicsburg,PA,40.2,-77,1
6/30/18,Meridian,PA,40.9,-79.9,1
6/30/18,Bloomingdale,NY,44.4,-74.1,1
6/30/18,Blackstock,ON,44.1,-78.8,1
6/30/18,Eagle Bay,NY,43.8,-74.9,1
6/30/18,Newton,MA,42.4,-71.2,1
6/30/18,Avon Lake,OH,41.5,-82,1
6/30/18,Woodstock,ON,43.1,-80.7,1
6/29/18,Roxbury,CT,41.6,-73.3,1
6/29/18,Buffalo Grove,IL,42.2,-87.9,1
6/29/18,Bemidji,MN,47.5,-94.8,1
6/29/18,Uniontown,PA,39.9,-79.7,1
6/29/18,Cambridge,NS,45.1,-64.6,1
6/29/18,Landisburg,PA,40.3,-77.3,1
6/29/18,Lancaster,PA,40.1,-76.4,1
6/29/18,Holland,MA,42.1,-72.2,2
6/29/18,North Hampton,NH,43,-70.8,2
6/29/18,Yukon,PA,40.2,-79.7,1
6/29/18,Salem,MA,42.5,-70.9,1
6/28/18,Midwest City,OK,35.4,-97.4,2
6/28/18,Maumee,OH,41.6,-83.6,1
6/28/18,Fredericksburg,VA,38.3,-77.4,1
6/28/18,Augusta,MI,42.3,-85.4,1
6/28/18,Toronto,ON,43.7,-79.3,1
6/28/18,Overland Park,KS,38.9,-94.6,1
6/28/18,Coshocton,OH,40.3,-81.9,1
6/28/18,Merrillan,WI,44.4,-90.9,6
6/28/18,Plymouth,WI,43.8,-88,1
6/28/18,Indianapolis,IN,39.9,-86.3,1
6/28/18,Ajax,ON,43.9,-79,1
6/28/18,Pennsylvania Furnace,PA,40.7,-77.9,1
6/27/18,Plano,TX,33.1,-96.7,1
6/27/18,Burke,VA,38.8,-77.3,1
6/27/18,Silver Spring,MD,39.1,-77,1
6/27/18,West Middleton,IN,40.4,-86.2,1
6/27/18,Somerset,MA,41.8,-71.1,1
6/27/18,Grosse Pointe Woods,MI,42.4,-82.9,1
6/27/18,Benicia,CA,38,-122.2,1
6/27/18,Thunder Bay,ON,48.5,-89.2,1
6/27/18,Escondido,CA,33.1,-117.1,6
6/26/18,Snyder,CO,40.3,-103.6,1
6/26/18,Bridport,VT,44,-73.3,1
6/26/18,Halifax,PA,40.5,-76.9,1
6/26/18,Alliance,OH,40.9,-81.1,1
6/26/18,Virginia,MN,47.5,-92.5,2
6/26/18,Harwinton,CT,41.8,-73.1,1
6/26/18,Fox River Grove,IL,42.2,-88.2,1
6/26/18,Fairlawn,OH,41.1,-81.6,1
6/26/18,Searsport,ME,44.5,-68.9,1
6/25/18,Washington,DC,38.9,-77,1
6/25/18,Setauket- East Setauket,NY,40.9,-73.1,1
6/25/18,Webster,MA,42,-71.9,1
6/25/18,Sunbury,PA,40.9,-76.7,1
6/25/18,Chesapeake City,MD,39.5,-75.9,1
6/25/18,Stafford Township,NJ,39.7,-74.3,1
6/25/18,Lakeville,NY,42.8,-77.7,1
6/25/18,Riegelsville,PA,40.6,-75.2,1
6/25/18,Decatur,IN,40.8,-84.9,6
6/25/18,Orillia,ON,44.6,-79.4,3
6/25/18,Eastham,MA,41.9,-70,1
6/25/18,Blaine,MN,45.2,-93.2,1
6/25/18,Harrisburg,PA,40.3,-76.9,1
6/25/18,Deptford Township,NJ,39.8,-75.1,1
6/25/18,Bowmanville,ON,43.9,-78.7,1
6/25/18,Fort Wayne,IN,41.1,-85.1,1
6/25/18,Centre Hall,PA,40.8,-77.7,1
